2024-12-31 16:49:54,625 - INFO - Episode 10/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 1.00
2024-12-31 16:49:57,313 - INFO - Episode 20/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 1.00
2024-12-31 16:50:00,457 - INFO - Episode 30/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.99
2024-12-31 16:50:03,527 - INFO - Episode 40/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:12, Epsilon: 0.99
2024-12-31 16:50:06,760 - INFO - Episode 50/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.99
2024-12-31 16:50:10,054 - INFO - Episode 60/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.99
2024-12-31 16:50:13,157 - INFO - Episode 70/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.98
2024-12-31 16:50:16,489 - INFO - Episode 80/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.98
2024-12-31 16:50:19,689 - INFO - Episode 90/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.98
2024-12-31 16:50:22,825 - INFO - Episode 100/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.98
2024-12-31 16:50:25,894 - INFO - Episode 110/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.97
2024-12-31 16:50:29,032 - INFO - Episode 120/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.97
2024-12-31 16:50:32,104 - INFO - Episode 130/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.97
2024-12-31 16:50:35,334 - INFO - Episode 140/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.97
2024-12-31 16:50:38,539 - INFO - Episode 150/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.96
2024-12-31 16:50:41,804 - INFO - Episode 160/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.96
2024-12-31 16:50:45,092 - INFO - Episode 170/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:29, Epsilon: 0.96
2024-12-31 16:50:48,325 - INFO - Episode 180/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.96
2024-12-31 16:50:51,497 - INFO - Episode 190/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.95
2024-12-31 16:50:54,725 - INFO - Episode 200/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.95
2024-12-31 16:50:57,928 - INFO - Episode 210/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.95
2024-12-31 16:51:01,160 - INFO - Episode 220/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.95
2024-12-31 16:51:04,297 - INFO - Episode 230/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.94
2024-12-31 16:51:07,622 - INFO - Episode 240/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.94
2024-12-31 16:51:10,955 - INFO - Episode 250/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.94
2024-12-31 16:51:14,475 - INFO - Episode 260/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.94
2024-12-31 16:51:17,703 - INFO - Episode 270/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.93
2024-12-31 16:51:20,809 - INFO - Episode 280/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:12, Epsilon: 0.93
2024-12-31 16:51:23,909 - INFO - Episode 290/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.93
2024-12-31 16:51:27,075 - INFO - Episode 300/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.93
2024-12-31 16:51:30,281 - INFO - Episode 310/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.92
2024-12-31 16:51:33,541 - INFO - Episode 320/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:30, Epsilon: 0.92
2024-12-31 16:51:36,647 - INFO - Episode 330/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.92
2024-12-31 16:51:39,878 - INFO - Episode 340/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.92
