2025-01-01 22:52:01,433 - INFO - Episode 1/5000, Total Reward: 2, Total Clear Lines:2, Total Blocks:22, Epsilon: 0.00
2025-01-01 22:52:01,764 - INFO - Episode 2/5000, Total Reward: 2, Total Clear Lines:2, Total Blocks:38, Epsilon: 0.00
2025-01-01 22:52:02,172 - INFO - Episode 3/5000, Total Reward: 8, Total Clear Lines:8, Total Blocks:53, Epsilon: 0.00
2025-01-01 22:52:02,514 - INFO - Episode 4/5000, Total Reward: 5, Total Clear Lines:5, Total Blocks:40, Epsilon: 0.00
2025-01-01 22:52:02,924 - INFO - Episode 5/5000, Total Reward: 9, Total Clear Lines:9, Total Blocks:54, Epsilon: 0.00
2025-01-01 22:52:03,355 - INFO - Episode 6/5000, Total Reward: 9, Total Clear Lines:9, Total Blocks:56, Epsilon: 0.00
2025-01-01 22:52:03,803 - INFO - Episode 7/5000, Total Reward: 13, Total Clear Lines:13, Total Blocks:59, Epsilon: 0.00
2025-01-01 22:52:04,213 - INFO - Episode 8/5000, Total Reward: 9, Total Clear Lines:9, Total Blocks:52, Epsilon: 0.00
2025-01-01 22:52:04,613 - INFO - Episode 9/5000, Total Reward: 7, Total Clear Lines:7, Total Blocks:48, Epsilon: 0.00
2025-01-01 22:52:04,982 - INFO - Episode 10/5000, Total Reward: 5, Total Clear Lines:5, Total Blocks:33, Epsilon: 0.00
2025-01-01 22:52:05,454 - INFO - Episode 11/5000, Total Reward: 13, Total Clear Lines:13, Total Blocks:66, Epsilon: 0.00
2025-01-01 22:52:05,952 - INFO - Episode 12/5000, Total Reward: 17, Total Clear Lines:17, Total Blocks:80, Epsilon: 0.00
2025-01-01 22:52:06,293 - INFO - Episode 13/5000, Total Reward: 1, Total Clear Lines:1, Total Blocks:36, Epsilon: 0.00
2025-01-01 22:52:06,783 - INFO - Episode 14/5000, Total Reward: 14, Total Clear Lines:14, Total Blocks:68, Epsilon: 0.00
2025-01-01 22:52:07,222 - INFO - Episode 15/5000, Total Reward: 10, Total Clear Lines:10, Total Blocks:54, Epsilon: 0.00
2025-01-01 22:52:07,664 - INFO - Episode 16/5000, Total Reward: 10, Total Clear Lines:10, Total Blocks:53, Epsilon: 0.00
2025-01-01 22:52:08,054 - INFO - Episode 17/5000, Total Reward: 6, Total Clear Lines:6, Total Blocks:46, Epsilon: 0.00
2025-01-01 22:52:08,803 - INFO - Episode 18/5000, Total Reward: 15, Total Clear Lines:15, Total Blocks:70, Epsilon: 0.00
2025-01-01 22:52:09,204 - INFO - Episode 19/5000, Total Reward: 9, Total Clear Lines:9, Total Blocks:61, Epsilon: 0.00
2025-01-01 22:52:09,644 - INFO - Episode 20/5000, Total Reward: 8, Total Clear Lines:8, Total Blocks:56, Epsilon: 0.00
2025-01-01 22:52:09,973 - INFO - Episode 21/5000, Total Reward: 3, Total Clear Lines:3, Total Blocks:35, Epsilon: 0.00
2025-01-01 22:52:10,364 - INFO - Episode 22/5000, Total Reward: 8, Total Clear Lines:8, Total Blocks:58, Epsilon: 0.00
2025-01-01 22:52:10,683 - INFO - Episode 23/5000, Total Reward: 3, Total Clear Lines:3, Total Blocks:43, Epsilon: 0.00
2025-01-01 22:52:10,963 - INFO - Episode 24/5000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.00
2025-01-01 22:52:11,323 - INFO - Episode 25/5000, Total Reward: 5, Total Clear Lines:5, Total Blocks:47, Epsilon: 0.00
2025-01-01 22:52:11,593 - INFO - Episode 26/5000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.00
2025-01-01 22:52:11,914 - INFO - Episode 27/5000, Total Reward: 2, Total Clear Lines:2, Total Blocks:30, Epsilon: 0.00
2025-01-01 22:52:12,253 - INFO - Episode 28/5000, Total Reward: 3, Total Clear Lines:3, Total Blocks:36, Epsilon: 0.00
2025-01-01 22:52:12,652 - INFO - Episode 29/5000, Total Reward: 2, Total Clear Lines:2, Total Blocks:39, Epsilon: 0.00
