2025-01-01 22:52:43,589 - INFO - Episode 1/100, Total Reward: 1, Total Clear Lines:1, Total Blocks:22, Epsilon: 0.00
2025-01-01 22:52:43,908 - INFO - Episode 2/100, Total Reward: 4, Total Clear Lines:4, Total Blocks:42, Epsilon: 0.00
2025-01-01 22:52:44,178 - INFO - Episode 3/100, Total Reward: 3, Total Clear Lines:3, Total Blocks:33, Epsilon: 0.00
2025-01-01 22:52:44,548 - INFO - Episode 4/100, Total Reward: 7, Total Clear Lines:7, Total Blocks:54, Epsilon: 0.00
2025-01-01 22:52:44,939 - INFO - Episode 5/100, Total Reward: 10, Total Clear Lines:10, Total Blocks:49, Epsilon: 0.00
2025-01-01 22:52:45,458 - INFO - Episode 6/100, Total Reward: 18, Total Clear Lines:18, Total Blocks:79, Epsilon: 0.00
2025-01-01 22:52:45,778 - INFO - Episode 7/100, Total Reward: 4, Total Clear Lines:4, Total Blocks:38, Epsilon: 0.00
2025-01-01 22:52:46,109 - INFO - Episode 8/100, Total Reward: 5, Total Clear Lines:5, Total Blocks:42, Epsilon: 0.00
2025-01-01 22:52:46,357 - INFO - Episode 9/100, Total Reward: 1, Total Clear Lines:1, Total Blocks:27, Epsilon: 0.00
2025-01-01 22:52:46,908 - INFO - Episode 10/100, Total Reward: 19, Total Clear Lines:19, Total Blocks:87, Epsilon: 0.00
2025-01-01 22:52:47,267 - INFO - Episode 11/100, Total Reward: 7, Total Clear Lines:7, Total Blocks:50, Epsilon: 0.00
2025-01-01 22:52:47,617 - INFO - Episode 12/100, Total Reward: 6, Total Clear Lines:6, Total Blocks:50, Epsilon: 0.00
2025-01-01 22:52:48,009 - INFO - Episode 13/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:52, Epsilon: 0.00
2025-01-01 22:52:48,358 - INFO - Episode 14/100, Total Reward: 10, Total Clear Lines:10, Total Blocks:46, Epsilon: 0.00
2025-01-01 22:52:48,717 - INFO - Episode 15/100, Total Reward: 7, Total Clear Lines:7, Total Blocks:43, Epsilon: 0.00
2025-01-01 22:52:49,109 - INFO - Episode 16/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:53, Epsilon: 0.00
2025-01-01 22:52:49,549 - INFO - Episode 17/100, Total Reward: 12, Total Clear Lines:12, Total Blocks:57, Epsilon: 0.00
2025-01-01 22:52:50,038 - INFO - Episode 18/100, Total Reward: 14, Total Clear Lines:14, Total Blocks:64, Epsilon: 0.00
2025-01-01 22:52:50,478 - INFO - Episode 19/100, Total Reward: 7, Total Clear Lines:7, Total Blocks:52, Epsilon: 0.00
2025-01-01 22:52:50,817 - INFO - Episode 20/100, Total Reward: 3, Total Clear Lines:3, Total Blocks:36, Epsilon: 0.00
2025-01-01 22:52:51,099 - INFO - Episode 21/100, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.00
2025-01-01 22:52:51,717 - INFO - Episode 22/100, Total Reward: 11, Total Clear Lines:11, Total Blocks:64, Epsilon: 0.00
2025-01-01 22:52:52,309 - INFO - Episode 23/100, Total Reward: 12, Total Clear Lines:12, Total Blocks:67, Epsilon: 0.00
2025-01-01 22:52:52,759 - INFO - Episode 24/100, Total Reward: 5, Total Clear Lines:5, Total Blocks:46, Epsilon: 0.00
