2025-01-02 21:31:57,125 - INFO - Episode 10/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 1.00
2025-01-02 21:31:59,264 - INFO - Episode 20/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 1.00
2025-01-02 21:32:02,065 - INFO - Episode 30/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.99
2025-01-02 21:32:04,414 - INFO - Episode 40/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.99
2025-01-02 21:32:06,825 - INFO - Episode 50/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.99
2025-01-02 21:32:09,143 - INFO - Episode 60/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.99
2025-01-02 21:32:11,573 - INFO - Episode 70/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.98
2025-01-02 21:32:13,824 - INFO - Episode 80/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.98
2025-01-02 21:32:16,204 - INFO - Episode 90/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.98
2025-01-02 21:32:18,494 - INFO - Episode 100/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.98
2025-01-02 21:32:20,745 - INFO - Episode 110/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.97
2025-01-02 21:32:23,054 - INFO - Episode 120/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.97
2025-01-02 21:32:25,393 - INFO - Episode 130/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.97
2025-01-02 21:32:27,556 - INFO - Episode 140/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:13, Epsilon: 0.97
2025-01-02 21:32:29,773 - INFO - Episode 150/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.96
2025-01-02 21:32:32,135 - INFO - Episode 160/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.96
2025-01-02 21:32:34,573 - INFO - Episode 170/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.96
2025-01-02 21:32:36,815 - INFO - Episode 180/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.96
2025-01-02 21:32:39,087 - INFO - Episode 190/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.95
2025-01-02 21:32:41,324 - INFO - Episode 200/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.95
2025-01-02 21:32:43,633 - INFO - Episode 210/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:14, Epsilon: 0.95
2025-01-02 21:32:45,944 - INFO - Episode 220/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.95
2025-01-02 21:32:48,413 - INFO - Episode 230/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.94
2025-01-02 21:32:50,926 - INFO - Episode 240/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.94
2025-01-02 21:32:53,467 - INFO - Episode 250/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.94
2025-01-02 21:32:56,024 - INFO - Episode 260/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.94
2025-01-02 21:32:58,423 - INFO - Episode 270/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:13, Epsilon: 0.93
2025-01-02 21:33:00,893 - INFO - Episode 280/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.93
2025-01-02 21:33:03,303 - INFO - Episode 290/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.93
2025-01-02 21:33:05,807 - INFO - Episode 300/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.93
2025-01-02 21:33:08,233 - INFO - Episode 310/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.92
2025-01-02 21:33:10,661 - INFO - Episode 320/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.92
2025-01-02 21:33:13,113 - INFO - Episode 330/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.92
2025-01-02 21:33:15,534 - INFO - Episode 340/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.92
2025-01-02 21:33:17,904 - INFO - Episode 350/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.91
2025-01-02 21:33:20,514 - INFO - Episode 360/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.91
2025-01-02 21:33:22,957 - INFO - Episode 370/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.91
2025-01-02 21:33:25,398 - INFO - Episode 380/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.91
2025-01-02 21:33:27,696 - INFO - Episode 390/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.90
2025-01-02 21:33:30,112 - INFO - Episode 400/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.90
2025-01-02 21:33:32,405 - INFO - Episode 410/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.90
2025-01-02 21:33:34,755 - INFO - Episode 420/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.90
2025-01-02 21:33:37,125 - INFO - Episode 430/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.89
2025-01-02 21:33:39,514 - INFO - Episode 440/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.89
2025-01-02 21:33:41,942 - INFO - Episode 450/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.89
2025-01-02 21:33:44,245 - INFO - Episode 460/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:14, Epsilon: 0.89
2025-01-02 21:33:46,583 - INFO - Episode 470/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.88
2025-01-02 21:33:49,064 - INFO - Episode 480/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.88
2025-01-02 21:33:51,475 - INFO - Episode 490/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.88
2025-01-02 21:33:53,673 - INFO - Episode 500/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.88
2025-01-02 21:33:55,965 - INFO - Episode 510/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.87
