2025-01-01 23:03:24,954 - INFO - Episode 470/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.88
2025-01-01 23:03:27,383 - INFO - Episode 480/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.88
2025-01-01 23:03:29,834 - INFO - Episode 490/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.88
2025-01-01 23:03:32,213 - INFO - Episode 500/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.88
2025-01-01 23:03:34,624 - INFO - Episode 510/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.87
2025-01-01 23:03:37,012 - INFO - Episode 520/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.87
2025-01-01 23:03:39,353 - INFO - Episode 530/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.87
2025-01-01 23:03:41,814 - INFO - Episode 540/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.87
2025-01-01 23:03:44,403 - INFO - Episode 550/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.86
2025-01-01 23:03:46,794 - INFO - Episode 560/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.86
2025-01-01 23:03:49,544 - INFO - Episode 570/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.86
2025-01-01 23:03:52,024 - INFO - Episode 580/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.86
2025-01-01 23:03:54,524 - INFO - Episode 590/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.85
2025-01-01 23:03:57,154 - INFO - Episode 600/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.85
2025-01-01 23:03:59,803 - INFO - Episode 610/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.85
2025-01-01 23:04:02,357 - INFO - Episode 620/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.85
2025-01-01 23:04:04,874 - INFO - Episode 630/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.84
2025-01-01 23:04:07,373 - INFO - Episode 640/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.84
2025-01-01 23:04:10,004 - INFO - Episode 650/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.84
2025-01-01 23:04:12,566 - INFO - Episode 660/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.84
2025-01-01 23:04:15,195 - INFO - Episode 670/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:21, Epsilon: 0.83
2025-01-01 23:04:17,904 - INFO - Episode 680/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.83
2025-01-01 23:04:20,346 - INFO - Episode 690/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.83
2025-01-01 23:04:22,765 - INFO - Episode 700/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:21, Epsilon: 0.83
2025-01-01 23:04:25,494 - INFO - Episode 710/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.82
2025-01-01 23:04:28,182 - INFO - Episode 720/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.82
2025-01-01 23:04:30,817 - INFO - Episode 730/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.82
2025-01-01 23:04:33,585 - INFO - Episode 740/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:29, Epsilon: 0.82
2025-01-01 23:04:36,167 - INFO - Episode 750/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.81
2025-01-01 23:04:39,146 - INFO - Episode 760/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:23, Epsilon: 0.81
2025-01-01 23:04:41,803 - INFO - Episode 770/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.81
2025-01-01 23:04:44,405 - INFO - Episode 780/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.81
2025-01-01 23:04:46,852 - INFO - Episode 790/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.80
2025-01-01 23:04:49,454 - INFO - Episode 800/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.80
2025-01-01 23:04:52,253 - INFO - Episode 810/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.80
2025-01-01 23:04:54,844 - INFO - Episode 820/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.80
2025-01-01 23:04:57,544 - INFO - Episode 830/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.79
2025-01-01 23:05:00,093 - INFO - Episode 840/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:26, Epsilon: 0.79
2025-01-01 23:05:02,753 - INFO - Episode 850/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.79
2025-01-01 23:05:05,324 - INFO - Episode 860/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.79
2025-01-01 23:05:07,973 - INFO - Episode 870/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.78
2025-01-01 23:05:10,735 - INFO - Episode 880/10000, Total Reward: 4, Total Clear Lines:4, Total Blocks:33, Epsilon: 0.78
2025-01-01 23:05:13,484 - INFO - Episode 890/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.78
2025-01-01 23:05:16,145 - INFO - Episode 900/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.78
2025-01-01 23:05:18,854 - INFO - Episode 910/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.77
2025-01-01 23:05:21,555 - INFO - Episode 920/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.77
2025-01-01 23:05:24,194 - INFO - Episode 930/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:30, Epsilon: 0.77
2025-01-01 23:05:27,135 - INFO - Episode 940/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.77
2025-01-01 23:05:29,674 - INFO - Episode 950/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:29, Epsilon: 0.76
2025-01-01 23:05:32,423 - INFO - Episode 960/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:12, Epsilon: 0.76
2025-01-01 23:05:35,234 - INFO - Episode 970/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:30, Epsilon: 0.76
2025-01-01 23:05:37,925 - INFO - Episode 980/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.76
2025-01-01 23:05:40,595 - INFO - Episode 990/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.75
2025-01-01 23:05:43,325 - INFO - Episode 1000/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:30, Epsilon: 0.75
2025-01-01 23:05:43,398 - INFO - Model saved to ./Model3/model_episode_1000.pth
2025-01-01 23:05:46,103 - INFO - Episode 1010/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.75
2025-01-01 23:05:48,665 - INFO - Episode 1020/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.75
2025-01-01 23:05:51,394 - INFO - Episode 1030/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.75
2025-01-01 23:05:53,986 - INFO - Episode 1040/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.74
