2025-01-01 22:54:43,032 - INFO - Episode 1/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:51, Epsilon: 0.00
2025-01-01 22:54:43,483 - INFO - Episode 2/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:60, Epsilon: 0.00
2025-01-01 22:54:43,933 - INFO - Episode 3/100, Total Reward: 9, Total Clear Lines:9, Total Blocks:58, Epsilon: 0.00
2025-01-01 22:54:44,353 - INFO - Episode 4/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:47, Epsilon: 0.00
2025-01-01 22:54:44,682 - INFO - Episode 5/100, Total Reward: 2, Total Clear Lines:2, Total Blocks:33, Epsilon: 0.00
2025-01-01 22:54:45,144 - INFO - Episode 6/100, Total Reward: 14, Total Clear Lines:13, Total Blocks:64, Epsilon: 0.00
2025-01-01 22:54:45,592 - INFO - Episode 7/100, Total Reward: 8, Total Clear Lines:8, Total Blocks:55, Epsilon: 0.00
2025-01-01 22:54:45,962 - INFO - Episode 8/100, Total Reward: 5, Total Clear Lines:5, Total Blocks:45, Epsilon: 0.00
2025-01-01 22:54:46,273 - INFO - Episode 9/100, Total Reward: 3, Total Clear Lines:3, Total Blocks:34, Epsilon: 0.00
2025-01-01 22:54:46,863 - INFO - Episode 10/100, Total Reward: 15, Total Clear Lines:15, Total Blocks:71, Epsilon: 0.00
2025-01-01 22:54:47,124 - INFO - Episode 11/100, Total Reward: 1, Total Clear Lines:1, Total Blocks:24, Epsilon: 0.00
2025-01-01 22:54:47,492 - INFO - Episode 12/100, Total Reward: 3, Total Clear Lines:3, Total Blocks:33, Epsilon: 0.00
2025-01-01 22:54:48,021 - INFO - Episode 13/100, Total Reward: 14, Total Clear Lines:14, Total Blocks:73, Epsilon: 0.00
2025-01-01 22:54:48,282 - INFO - Episode 14/100, Total Reward: 1, Total Clear Lines:1, Total Blocks:24, Epsilon: 0.00
2025-01-01 22:54:48,769 - INFO - Episode 15/100, Total Reward: 11, Total Clear Lines:11, Total Blocks:62, Epsilon: 0.00
2025-01-01 22:54:49,231 - INFO - Episode 16/100, Total Reward: 12, Total Clear Lines:11, Total Blocks:55, Epsilon: 0.00
2025-01-01 22:54:49,560 - INFO - Episode 17/100, Total Reward: 4, Total Clear Lines:4, Total Blocks:39, Epsilon: 0.00
2025-01-01 22:54:49,901 - INFO - Episode 18/100, Total Reward: 3, Total Clear Lines:3, Total Blocks:31, Epsilon: 0.00
2025-01-01 22:54:50,523 - INFO - Episode 19/100, Total Reward: 12, Total Clear Lines:12, Total Blocks:65, Epsilon: 0.00
2025-01-01 22:54:51,082 - INFO - Episode 20/100, Total Reward: 10, Total Clear Lines:10, Total Blocks:61, Epsilon: 0.00
2025-01-01 22:54:51,520 - INFO - Episode 21/100, Total Reward: 5, Total Clear Lines:5, Total Blocks:42, Epsilon: 0.00
2025-01-01 22:54:52,121 - INFO - Episode 22/100, Total Reward: 12, Total Clear Lines:12, Total Blocks:67, Epsilon: 0.00
2025-01-01 22:54:52,700 - INFO - Episode 23/100, Total Reward: 11, Total Clear Lines:11, Total Blocks:64, Epsilon: 0.00
2025-01-01 22:54:53,361 - INFO - Episode 24/100, Total Reward: 15, Total Clear Lines:15, Total Blocks:73, Epsilon: 0.00
2025-01-01 22:54:53,940 - INFO - Episode 25/100, Total Reward: 10, Total Clear Lines:10, Total Blocks:57, Epsilon: 0.00
