2024-12-31 18:59:00,919 - INFO - Episode 10/10000, Total Reward: 6, Total Clear Lines:6, Total Blocks:45, Epsilon: 0.01
2024-12-31 18:59:07,099 - INFO - Episode 20/10000, Total Reward: 20, Total Clear Lines:19, Total Blocks:81, Epsilon: 0.01
2024-12-31 18:59:12,312 - INFO - Episode 30/10000, Total Reward: 5, Total Clear Lines:5, Total Blocks:39, Epsilon: 0.01
2024-12-31 18:59:18,649 - INFO - Episode 40/10000, Total Reward: 23, Total Clear Lines:21, Total Blocks:85, Epsilon: 0.01
2024-12-31 18:59:24,183 - INFO - Episode 50/10000, Total Reward: 12, Total Clear Lines:12, Total Blocks:58, Epsilon: 0.01
2024-12-31 18:59:30,138 - INFO - Episode 60/10000, Total Reward: 5, Total Clear Lines:5, Total Blocks:41, Epsilon: 0.01
2024-12-31 18:59:35,607 - INFO - Episode 70/10000, Total Reward: 4, Total Clear Lines:4, Total Blocks:34, Epsilon: 0.01
2024-12-31 18:59:41,305 - INFO - Episode 80/10000, Total Reward: 13, Total Clear Lines:13, Total Blocks:66, Epsilon: 0.01
2024-12-31 18:59:47,898 - INFO - Episode 90/10000, Total Reward: 10, Total Clear Lines:10, Total Blocks:51, Epsilon: 0.01
2024-12-31 18:59:53,914 - INFO - Episode 100/10000, Total Reward: 12, Total Clear Lines:11, Total Blocks:56, Epsilon: 0.01
2024-12-31 18:59:59,576 - INFO - Episode 110/10000, Total Reward: 12, Total Clear Lines:12, Total Blocks:50, Epsilon: 0.01
2024-12-31 19:00:05,755 - INFO - Episode 120/10000, Total Reward: 15, Total Clear Lines:15, Total Blocks:67, Epsilon: 0.01
2024-12-31 19:00:12,185 - INFO - Episode 130/10000, Total Reward: 7, Total Clear Lines:7, Total Blocks:40, Epsilon: 0.01
2024-12-31 19:00:17,497 - INFO - Episode 140/10000, Total Reward: 5, Total Clear Lines:4, Total Blocks:35, Epsilon: 0.01
2024-12-31 19:00:23,510 - INFO - Episode 150/10000, Total Reward: 10, Total Clear Lines:10, Total Blocks:58, Epsilon: 0.01
2024-12-31 19:00:29,016 - INFO - Episode 160/10000, Total Reward: 8, Total Clear Lines:8, Total Blocks:44, Epsilon: 0.01
2024-12-31 19:00:34,907 - INFO - Episode 170/10000, Total Reward: 9, Total Clear Lines:9, Total Blocks:55, Epsilon: 0.01
2024-12-31 19:00:41,017 - INFO - Episode 180/10000, Total Reward: 20, Total Clear Lines:17, Total Blocks:79, Epsilon: 0.01
2024-12-31 19:00:46,974 - INFO - Episode 190/10000, Total Reward: 10, Total Clear Lines:10, Total Blocks:56, Epsilon: 0.01
2024-12-31 19:00:52,440 - INFO - Episode 200/10000, Total Reward: 17, Total Clear Lines:16, Total Blocks:74, Epsilon: 0.01
2024-12-31 19:00:57,626 - INFO - Episode 210/10000, Total Reward: 6, Total Clear Lines:6, Total Blocks:36, Epsilon: 0.01
2024-12-31 19:01:03,802 - INFO - Episode 220/10000, Total Reward: 8, Total Clear Lines:8, Total Blocks:52, Epsilon: 0.01
2024-12-31 19:01:10,169 - INFO - Episode 230/10000, Total Reward: 7, Total Clear Lines:7, Total Blocks:51, Epsilon: 0.01
2024-12-31 19:01:16,405 - INFO - Episode 240/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:20, Epsilon: 0.01
2024-12-31 19:01:22,233 - INFO - Episode 250/10000, Total Reward: 17, Total Clear Lines:16, Total Blocks:67, Epsilon: 0.01
2024-12-31 19:01:27,737 - INFO - Episode 260/10000, Total Reward: 14, Total Clear Lines:13, Total Blocks:61, Epsilon: 0.01
2024-12-31 19:01:33,464 - INFO - Episode 270/10000, Total Reward: 8, Total Clear Lines:8, Total Blocks:46, Epsilon: 0.01
2024-12-31 19:01:39,671 - INFO - Episode 280/10000, Total Reward: 5, Total Clear Lines:5, Total Blocks:42, Epsilon: 0.01
2024-12-31 19:01:45,499 - INFO - Episode 290/10000, Total Reward: 10, Total Clear Lines:9, Total Blocks:46, Epsilon: 0.01
2024-12-31 19:01:51,292 - INFO - Episode 300/10000, Total Reward: 14, Total Clear Lines:13, Total Blocks:63, Epsilon: 0.01
2024-12-31 19:01:56,953 - INFO - Episode 310/10000, Total Reward: 8, Total Clear Lines:8, Total Blocks:39, Epsilon: 0.01
2024-12-31 19:02:02,773 - INFO - Episode 320/10000, Total Reward: 16, Total Clear Lines:15, Total Blocks:69, Epsilon: 0.01
2024-12-31 19:02:09,049 - INFO - Episode 330/10000, Total Reward: 27, Total Clear Lines:26, Total Blocks:102, Epsilon: 0.01
2024-12-31 19:02:14,779 - INFO - Episode 340/10000, Total Reward: 5, Total Clear Lines:5, Total Blocks:44, Epsilon: 0.01
2024-12-31 19:02:20,923 - INFO - Episode 350/10000, Total Reward: 14, Total Clear Lines:13, Total Blocks:68, Epsilon: 0.01
2024-12-31 19:02:26,202 - INFO - Episode 360/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:23, Epsilon: 0.01
2024-12-31 19:02:31,961 - INFO - Episode 370/10000, Total Reward: 5, Total Clear Lines:5, Total Blocks:46, Epsilon: 0.01
2024-12-31 19:02:38,040 - INFO - Episode 380/10000, Total Reward: 17, Total Clear Lines:16, Total Blocks:70, Epsilon: 0.01
2024-12-31 19:02:44,023 - INFO - Episode 390/10000, Total Reward: 16, Total Clear Lines:15, Total Blocks:73, Epsilon: 0.01
2024-12-31 19:02:49,434 - INFO - Episode 400/10000, Total Reward: 14, Total Clear Lines:13, Total Blocks:65, Epsilon: 0.01
2024-12-31 19:02:55,350 - INFO - Episode 410/10000, Total Reward: 11, Total Clear Lines:10, Total Blocks:49, Epsilon: 0.01
2024-12-31 19:03:00,887 - INFO - Episode 420/10000, Total Reward: 13, Total Clear Lines:13, Total Blocks:58, Epsilon: 0.01
2024-12-31 19:03:06,938 - INFO - Episode 430/10000, Total Reward: 12, Total Clear Lines:12, Total Blocks:63, Epsilon: 0.01
2024-12-31 19:03:13,111 - INFO - Episode 440/10000, Total Reward: 7, Total Clear Lines:7, Total Blocks:42, Epsilon: 0.01
2024-12-31 19:03:19,162 - INFO - Episode 450/10000, Total Reward: 15, Total Clear Lines:15, Total Blocks:71, Epsilon: 0.01
