2024-12-30 12:00:17,743 - INFO - Episode 10/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 1.00
2024-12-30 12:00:20,208 - INFO - Episode 20/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 1.00
2024-12-30 12:00:22,706 - INFO - Episode 30/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:16, Epsilon: 0.99
2024-12-30 12:00:25,234 - INFO - Episode 40/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:17, Epsilon: 0.99
2024-12-30 12:00:27,794 - INFO - Episode 50/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.99
2024-12-30 12:00:30,322 - INFO - Episode 60/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.99
2024-12-30 12:00:32,914 - INFO - Episode 70/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.98
2024-12-30 12:00:35,410 - INFO - Episode 80/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.98
2024-12-30 12:00:38,002 - INFO - Episode 90/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:31, Epsilon: 0.98
2024-12-30 12:00:40,466 - INFO - Episode 100/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:19, Epsilon: 0.98
2024-12-30 12:00:43,026 - INFO - Episode 110/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.97
2024-12-30 12:00:45,586 - INFO - Episode 120/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.97
2024-12-30 12:00:48,114 - INFO - Episode 130/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.97
2024-12-30 12:00:50,642 - INFO - Episode 140/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.97
2024-12-30 12:00:53,172 - INFO - Episode 150/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.96
2024-12-30 12:00:55,762 - INFO - Episode 160/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.96
2024-12-30 12:00:58,322 - INFO - Episode 170/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:14, Epsilon: 0.96
